iter	Passed	Remaining
549	9950	8141
550	9968	8123
551	9988	8106
552	10007	8088
553	10027	8072
554	10046	8055
555	10064	8037
556	10081	8017
557	10097	7998
558	10115	7980
559	10132	7961
560	10148	7941
561	10165	7922
562	10185	7905
563	10202	7886
564	10219	7867
565	10236	7849
566	10251	7829
567	10268	7809
568	10285	7790
569	10301	7771
570	10318	7752
571	10335	7733
572	10352	7714
573	10370	7696
574	10387	7678
575	10407	7660
576	10424	7642
577	10442	7624
578	10461	7606
579	10479	7588
580	10495	7569
581	10514	7551
582	10532	7533
583	10551	7516
584	10569	7497
585	10587	7479
586	10604	7461
587	10624	7444
588	10640	7424
589	10657	7406
590	10675	7388
591	10692	7369
592	10709	7350
593	10727	7332
594	10744	7313
595	10763	7296
596	10782	7278
597	10799	7260
598	10818	7242
599	10835	7223
600	10852	7205
601	10869	7186
602	10887	7167
603	10904	7149
604	10921	7130
605	10940	7112
606	10957	7094
607	10975	7076
608	10993	7058
609	11010	7039
610	11029	7022
611	11045	7002
612	11063	6984
613	11080	6966
614	11099	6948
615	11114	6928
616	11132	6910
617	11149	6891
618	11166	6873
619	11183	6854
620	11200	6835
621	11218	6817
622	11235	6798
623	11252	6780
624	11269	6761
625	11287	6743
626	11304	6725
627	11322	6706
628	11338	6687
629	11356	6669
630	11374	6651
631	11394	6634
632	11413	6617
633	11432	6599
634	11450	6581
635	11466	6562
636	11485	6544
637	11502	6526
638	11519	6507
639	11538	6490
640	11557	6472
641	11576	6455
642	11594	6437
643	11612	6419
644	11629	6400
645	11647	6382
646	11665	6364
647	11682	6345
648	11699	6327
649	11717	6309
650	11734	6291
651	11753	6273
652	11770	6254
653	11786	6235
654	11802	6216
655	11819	6198
656	11837	6180
657	11855	6162
658	11873	6144
659	11891	6125
660	11907	6106
661	11924	6088
662	11944	6071
663	11962	6053
664	11980	6035
665	11999	6017
666	12016	5999
667	12033	5980
668	12050	5962
669	12070	5945
670	12090	5927
671	12106	5909
672	12124	5891
673	12143	5873
674	12160	5854
675	12177	5836
676	12194	5818
677	12213	5800
678	12233	5783
679	12251	5765
680	12268	5746
681	12285	5728
682	12302	5710
683	12320	5691
684	12338	5673
685	12355	5655
686	12372	5636
687	12388	5618
688	12407	5600
689	12423	5581
690	12439	5562
691	12456	5544
692	12475	5526
693	12495	5509
694	12513	5491
695	12530	5473
696	12547	5454
697	12565	5436
698	12583	5418
699	12601	5400
700	12618	5382
701	12635	5363
702	12654	5346
703	12672	5328
704	12689	5309
705	12707	5291
706	12725	5273
707	12743	5255
708	12761	5237
709	12778	5219
710	12795	5200
711	12813	5182
712	12832	5165
713	12851	5147
714	12869	5129
715	12887	5111
716	12904	5093
717	12922	5075
718	12941	5057
719	12960	5040
720	12977	5021
721	12995	5003
722	13012	4985
723	13029	4967
724	13047	4949
725	13063	4930
726	13080	4912
727	13098	4893
728	13116	4875
729	13132	4857
730	13150	4839
731	13168	4821
732	13187	4803
733	13206	4785
734	13224	4767
735	13241	4749
736	13261	4732
737	13278	4714
738	13294	4695
739	13313	4677
740	13331	4659
741	13347	4640
742	13364	4622
743	13382	4604
744	13400	4586
745	13419	4569
746	13436	4550
747	13453	4532
748	13468	4513
749	13485	4495
750	13502	4476
751	13518	4458
752	13537	4440
753	13557	4423
754	13574	4404
755	13591	4386
756	13608	4368
757	13626	4350
758	13644	4332
759	13659	4313
760	13675	4295
761	13693	4276
762	13709	4258
763	13724	4239
764	13743	4221
765	13760	4203
766	13777	4185
767	13796	4167
768	13814	4149
769	13832	4131
770	13851	4114
771	13868	4095
772	13887	4078
773	13905	4060
774	13922	4042
775	13940	4023
776	13957	4005
777	13974	3987
778	13991	3969
779	14008	3951
780	14026	3933
781	14045	3915
782	14064	3897
783	14081	3879
784	14099	3861
785	14118	3843
786	14134	3825
787	14153	3807
788	14169	3789
789	14185	3770
790	14202	3752
791	14220	3734
792	14235	3716
793	14252	3697
794	14270	3679
795	14288	3661
796	14304	3643
797	14322	3625
798	14341	3607
799	14358	3589
800	14375	3571
801	14393	3553
802	14411	3535
803	14428	3517
804	14444	3499
805	14461	3480
806	14479	3462
807	14497	3445
808	14516	3427
809	14534	3409
810	14550	3390
811	14566	3372
812	14583	3354
813	14599	3336
814	14618	3318
815	14635	3300
816	14652	3282
817	14671	3264
818	14688	3246
819	14706	3228
820	14723	3210
